64689.518740,
87082.996683,
105420.388150,
119571.643360,
98939.209102,
98579.620671,
126699.483388,
157538.560659,
145696.969158,
59567.571302,
87197.945497,
84292.483896,
80058.005434,
168097.168069,
130440.061785,
168456.689837,
122000.759584,
122960.386082,
131609.495501,
140972.963205,
163044.884554,
66665.920633,
109851.075528,
84744.206497,
155039.841769,
102901.550173,
96036.942810,
98920.092262,
125131.755828,
82389.963992,
79682.636187,
96185.798830,
74749.735363,
84015.825966,
85243.355464,
76269.785847,
83471.324923,
118348.527755,
80738.201782,
94251.236912,
113538.865634,
85703.561489,
104041.241173,
63676.733520,
169600.708104,
110297.780950,
72973.087339,
100866.580470,
76295.359711,
84781.044940,
86049.278316,
109410.896511,
120122.228414,
110892.064223,
73172.556411,
84955.144161,
86051.086226,
80539.742001,
90197.487227,
91605.625140,
94359.808778,
134868.529373,
92788.570458,
94836.119666,
108085.596284,
109580.680116,
94121.280018,
116946.133859,
116596.563897,
125920.417512,
90542.445009,
122750.329677,
82630.986967,
96614.632478,
107410.964832,
96703.598328,
66471.168203,
104377.978542,
56202.314955,
79691.938748,
113457.090224,
163376.580637,
94377.203493,
69609.563547,
143637.774427,
68818.891353,
152607.776287,
68321.809265,
127986.234805,
107543.522214,
88345.286885,
96804.166962,
101358.332508,
89784.236140,
80884.894146,
94708.925887,
82297.255209,
97411.999049,
69603.648692,
70962.774621,
21809.817829,
26019.563809,
67307.929334,
39859.153902,
24108.162436,
27706.137621,
51232.596975,
22279.998150,
28322.885476,
32862.246454,
47119.112538,
31486.396624,
128864.094013,
29697.832676,
30272.722905,
35683.247807,
28644.776965,
34523.433220,
28083.623036,
26280.519106,
60354.958739,
59310.513359,
80811.481394,
31310.201819,
29848.251310,
63811.658669,
29903.605353,
33586.625828,
35352.756103,
65404.377126,
91331.895014,
28980.629754,
33720.185903,
24443.255808,
25625.113401,
26346.959190,
32185.896378,
34839.717416,
44104.621862,
25600.126885,
31527.842995,
29032.809720,
22132.749891,
26429.928887,
23781.718151,
49470.799613,
40809.959147,
47304.691561,
94768.094313,
22952.743219,
22690.538055,
50763.336308,
65778.326508,
25090.282287,
37859.582551,
24805.811277,
29017.588296,
27544.588515,
23195.697481,
21206.674710,
24644.756873,
25686.021499,
74265.852509,
52245.576773,
52528.343871,
22121.632351,
62467.589415,
56480.555747,
52449.640150,
50390.476015,
60419.955154,
51971.112972,
62379.108410,
30334.156674,
61905.796554,
29501.458618,
26250.200288,
24331.443186,
49100.720503,
50649.083647,
22625.482679,
21889.196195,
22155.857469,
52263.577317,
64301.554282,
28191.875632,
27160.451869,
54419.062741,
62961.176615,
55807.920806,
41210.318459,
57931.335662,
36305.102249,
27977.918574,
42628.331894,
53732.961180,
50501.695438,
23279.549265,
25663.971201,
58600.233217,
